שם בדיקה,רכב,סוג בדיקה,מספר בדיקה,תת סוג בדיקה,תאריך בדיקה,תאריך בדיקה הבאה,גורם בודק,מסמך בדיקה,הערות,מחיר בדיקה
,,,,,,,,,,
טסט | 05/03/2025,61297303,טסט,,,5/3/2025,4/3/2026,,רישיון רכב 62197303.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/df0qQeqPqaa3GibR1fUUYg/ubopLlXRcTYkbH7-qCtWv7jcd-YI6Bl_h5NyqznB2QpAV-8Qx5N_9z0dGHz3g1mQ_M-xxIugLo0S7B8WCOiqK92KeidmqnmA4uc6cnOhnAQN6UfyJCwtJdj_ODe8DzvQxkNBzolSkVi2AhXmK8GKrRaRmQ34qfSMkp2t1lOhyAw/OblJMzqpYIde72E7AWTDq33x2tS1IZk11eWZiJ18bjw),,
טסט | 262383 | 11/08/2025,6288024,טסט,262383,,11/8/2025,13/7/2026,מכון רישוי עמק הירדן ,"אישור על טסט 2025 6288024.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/MG2l2ajK1AVEZ9pBGPAq8Q/pyzXAyD0-I7Zjg4DpgbBuox2zIp2EMGMnvpxuX1bsuuT11h8_etp7WqQuA_TJqv_AOIBTJMSdh0w2vQWAdJ0pCo7sF8af-qVCnIll2VZX9c9wADYLjKwrhY5iN9mTot7mgLzun4vzjL-IdlyhZjEbvaokBZJjFahhxdmGnETML4/BHoDcA8npyhvyWLSIiSyexFnQiK_x1vKGQvVRw3vT6I),רישיון 6288024 חותמת טסט 07.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/gNhfWF44F-fv7_-RGTH16g/5_F8QbUWrB2IkQhpJ7o_xccLVYw8a1de6jD-NSZzJQbqZ97a1SFlJYmJhzeC5TL96YGGGDLwjdjOhW8g-OPbBJLZrUWjsFRkBeTyzoy6qYOBuUsAeSdDOADcCW-EE_VNVY7QX1QQLJS2aZ1Ykarg60WBwNDCdiq7GgEPTOMgu7s/MZjFBKr_kAu8712ddhZ7kq790UNW8tLWEUW0UwjSijY)",,
טסט | 10647 | 28/05/2025,220314,טסט,10647,,28/5/2025,26/5/2026,מכשירי תנועה משרד רישוי צמה ,רישיון באגר 220314 26.05.26_000063.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/iRqYXFdnmQFXePmZpCHlSA/5iASFz_SfE15LH5pXOlYJmkwT8hqLqNgK1nY-kP252TW7k03X3ZVmgmKBwcP8-XV3vEstYkQAKb4lUc5uWpG55RaM4bmimmHDkTjJZJj1ikybgJmGmxvwE9uk7Y8tmYzqGLgil_oJpkeRW7oHx4SPCr-4YGcF6FGO6CR8fUoUu0/321NP3u9WqqbE_4Nu_2_iK_AXeu7v4ehLHI9tMZxp2M),,
טסט | 60736 | 27/01/2026,244046,טסט,60736,,27/1/2026,21/1/2027,מוסך גלבוע בעמ מכון רישוי צמה,רישיון שופל וולו 244046.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/ahZQ3Dg4TR6_ygnr-pj29w/oHsfTFjhRb5vGunkhg3f0SqLcOXL9e-nL41Nw0c6DgnkdkVMkF-qIB8cCN91TKg4Mzn1ta0o_UfVsaUGQOfcnt9pLMPiW2mMFDaGblLsNrQHi0wD6GjbSE9rsQ_NQOb28uxwyqxjwEbg1n26dNvQ5OZbfW8JNqCcviivQL79cmQ/fK7NbAC5hykR4bAogW7J-PsDNSzi_gf47IqjbTBZ1d8),,
טסט | 6590 | 01/02/2026,181093,טסט,6590,,1/2/2026,14/3/2027,מוסך קיבוץ גניגר מוסך רישוי צמה,רישיון + אישור 181093.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/oX3MU3aYD1hus-9dczwBJg/-auTeFDNai94PTKoZubGdtNd60kmFSUYUP7AYzRKd-yM4pWXCS0Pa_bJN0Uk1n4MT1LrKmbyN8wBq5Wj1AtP4c6TxF6-YWhuxoN2sNVQL6Ni9txA9_kEGv4UmMu07UWY2O9v6wSrY2rfOvPPcPSVuDU8qK8zt2q_o_hX6Vu6VVQ/QECe_vKrhDpTAynHzbHC-H2i3UgIEWP5eij6LflX9hM),,
טסט | 6291 | 18/11/2025,5262239,טסט,6291,,18/11/2025,29/11/2026,משרד רישוי צמח עמק הירדן ,רישיון רכב + טסט 29.11.26.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/3TeDmF1ZqARrPco9GXlhCg/PuUk-uuZKxmYdh90ZWBK0lO6jzco-BE1Vf2FYobKQPrtT8YygJuy76AqMnnfEeiqULOGAo9-COHDzLCN1o1kcXjKRvq4DAhpeOoYMmoBkTnTpivbrKtCNZUpNyVxL0NeJzAlJhpydYHqjUAeWG8SHy5uvZdR0-b7ZGsnIV_i0v0/amwFNBQUnbapSWb6_-bKyakuNJhQhqXzvjUAI96FALk),,
תסקיר | 158112 | 06/05/2025,70175402,תסקיר,158112,בדיקת מכונת הרמה ,6/5/2025,5/7/2026,יעלה הנדסה ,תסקיר בדיקת מכונת הרמה בתוקף 05.07.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/TPlRvqOoYRGWGLkxa3hPVA/NUgyD35u4iIf_bo-EJT9QuR5-cBhFhKKCzhLaiZrzM6-DYjCyYiIA_FWytetMWskgUxv--Kepi3uDouEnsZJyn-CX9fFV8fcgiV3N-hSFO5cHeYuKp5Rp68pB6-wBk5wBjqvDXgEjludNZvlsQWBvhUy8zIbNLQqN1Wda-lOoH0/7q4Xz7dSJp7Mue09tD4y_GImPGCEfIaTBB3KNK_vPOo),,
טסט | 6899 | 12/10/2025,18898601,טסט,6899,,12/10/2025,16/10/2026,זיתוני ובניו טבריה מכון רישוי ,רישיון + חותמת 18898601 10.26.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/zMtJ5SIrL-nbDDbfdMGk_A/fEQ5KW51in9OPRzqJLC2d_-0YyZ54seTjBOWy9FzfzTErEbTEwCJw24ISohFsuXLEX-DIz0B5LEPjAE--R0QWPvEDVoqSlcsXRuuPVQMAiczSibmVJ-YKb-mFmApkpsr3SXzVtv2vqMSGFgEEj7Y_-PAfd5EKlq-Qv4i-atyfdw/hlOUhA4yWnsTYHp2c5WSIBmBtV0RTjoWbvZTTXbV3g0),,
טסט | 18/11/2025,24360402,טסט,,,18/11/2025,7/6/2026,,רישיון + חותמת טסט 24360402 07.06.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/HVEUJp04eaE6cDfadYAHAg/4EeguvMwxz5m7MBipfKDjzCdGNCxMksK6QCZb8ss1ZHmkFMTmMyqtXOFRxg391qr9q_WCllbGetYJf52zrBzuwu23AUCJIyUhyX3lmzuWeWNsyNXl9jqCYuJlxQlKY1eb3f3z_emzV7H9GpvU9453oYNuuCtykAAXRA-5SVeR7E/dJ7o470xj5HkumMusddXoYL_nLYm0cGXFPN4UowREsg),,
