שם פוליסה,מספר פוליסה,רכב,שם כלי / כינוי (from רכב),סוג נכס (from רכב),סוג כיסוי,חברת ביטוח,פקיעת פוליסה,מחיר פוליסה הכולל,מספר תשלומים,סכום חיוב חודשי,אופן תשלום,יום החיוב בחודש (from אופן תשלום),תאריך חיוב ראשון,סכום חיוב בפועל,הערות,סטטוס פוליסה,תשלומים נוצרו?,תשלומי ביטוח,כלי עבודה,מסמך פוליסה
1263 | קלנועית קלאב קאר מרשל | צד ג,103211311225,1263,קלנועית קלאב קאר מרשל,כלי תפעולי,צד ג,הראל,30/6/2026,₪1400,1,1400,העברה בנקאית,,24/6/2025,,,פעילה,,,,"העברה לחשבונות אחרי 24-06-2025 קלאב קאר.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/i3GXB0o6MeAmIGCJcX-H_w/EiNTJO_sHx9H6cikqNzHMLti-CFmOlwVnF7tnyg4dUlra7Lu8R-6j3WhB99pRd8_10AQg2Igp3SWPIXo1RopLkrX_B77JiRW48zbFqLoijVtRSKJdDrE40pIaBD2ZYv5ZuDtqsXc7d6_MIvK9LGjOuEcQaxDMw4-rCysv2t72TA/CKLQF6T3SPRkf_6cXm1q_NIGNSaVv45G3U2vSeDoTRs),צד ג 6.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/-8DQWqgn8W11jM22gnZgrQ/yqcsORh9KDjzaO2NoYpFBjSXZ6QiqBEd2cdJXSbpXVWd5UwK3O30o7Coyxuvw6NxexqEYuKATMJ1G-lBP0ugVkfFbG9ZLQIuHqwSzuDF_UFhwlV0YJ0XXxschP8FbMCce2KBW2ilgpOsnWe2_wS7kA/G448w1DZtJYDVSLoqg2zCiyD_CdzcAcDU57X8b7fJPk)"
1263 | קלנועית קלאב קאר מרשל | ,103211311225,1263,קלנועית קלאב קאר מרשל,כלי תפעולי,,הראל,30/6/2026,₪509,1,509,אשראי | 5237,15,15/7/2025,,,פעילה,,,,חובה 6.26-3.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/v86J6Xp_PgYUYAvNNeyDMg/bfW4PQkwYG1bIwCCltnzYfYNkQvZjIu1Hmx4diPHbE1ykT5sqyV2fzFLMmgcOGreJHMpwXAOgs2LL0XIXuGOMj8enQ76dlcASCHgyylvv7b6fD60u8ATwbvIlXopfi8CN2uVZJtQy_PO24JznRRPs3oRwR4Szj18PXhO8G4UxBI/3fgYVlAQLXtrBXav7KYkP9NqWqm1xNK9JaBQhwEoTo4)
162608 | מחפר קאטרפילר | חובה,,162608,מחפר קאטרפילר,"""צמ""""ה""",חובה,מגדל ,31/7/2026,₪3328,1,3328,אשראי | 5237,15,2/7/2025,,,פעילה,,,,
162608 | מחפר קאטרפילר | צד ג,,162608,מחפר קאטרפילר,"""צמ""""ה""",צד ג,מגדל,31/8/2026,₪1670,1,1670,העברה בנקאית,,27/7/2025,,,פעילה,,,,צד ג קטרפילר 162608.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/1JUNk2rOnQu0D57YTKbD5g/11tmou90zRxTZepdrHEuF7zmBVGg0bMywTcR2KaaNDhROqvX25WcD1KBcqPUK71MIc03miw8izCoFkF9m73kQcwk9xTM5iCqYo2LoK-13HdGkFQWDzR8-lvbnyrrLZuHdzNoQowbvTgmrTxzJU-hyW2FSxCoH_sX_jzRK3378Sw/S3giUTx8hBdqqY4MkT2EO_19xHQgNl2L7qpPi12Hmsg)
162608 | מחפר קאטרפילר | אחר,,162608,מחפר קאטרפילר,"""צמ""""ה""",אחר,,31/8/2026,₪814,1,814,העברה בנקאית,,27/7/2026,,,פעילה,,,,שבר שמשות קופל 7.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/SHFaS8SkseMu0Si2Q6o1UA/-CnEISMo382FwgAfsVe3lTpLDi-punFBwEN_IYWN1dHMByaFn-RX7_f_pFR4F5Oj8AZb7um79YOGhpVvd1vLLAhJOAt9hOpzIt4SXpwBuXY9tzxC2bpO5J8hAaAvraaEvvSIEAOgE6VpcJPBIn-J0A/6r5EAw_-Zub97Mg1KrCmgmK5jcUMNOVHFmWj7AIiVWA)
181093 | מחפר 1.7 טון | מקיף ,,181093,מחפר 1.7 טון,"""צמ""""ה""",מקיף ,הכשרה ,31/5/2026,₪1985,1,1985,אשראי | 9653,2,15/7/2025,₪1985.00,,פעילה,,,,181093 צוות תשתיות.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/M27EApHAPINn8nLW3s5zMw/OR_M02ubX03M9wzyt2utHl7oUNUH-JWk45MXqsU6i5V87KpmzcMl53RSegv8a3NpTh-tLVBY-hdUVBi-_CwJUcgkCHsS80NHUhMVzwwjTP699QBoevKB9P1Ye_Hfq6vhK9tSmjF0vbnP6Tralih_3Y9hp0yclahcO55HY9yH4Gc/xmhwoR1AX1Ep6Xas19TMdMnkjpghlQJsiON4ei60xF0)
181896 | מחפר 2.5 | מקיף ,2412365525,181896,מחפר 2.5,"""צמ""""ה""",מקיף ,הכשרה ,31/5/2026,₪1985,1,1985,אשראי | 9653,2,2/6/2025,₪1985.00,,פעילה,,,,180896 חידוש צוות תשתיות.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/0rT5IXD-ZMbXWon7hwFNnA/IRLCOM3t6lhfgq59S221GGpPo0PLbzP8yyCigDZFc6ixzy0MzPUxu5rbxdgehYy9K1L0SDa9XeCfKW1Ja9F7uq5oBQK67saEH22fN8APqA9MsPJjtGt9241v-qlHnufVtBuo-xphUdIKvyiO7YyzR1CN9wcQaFFvJy-Ay5TRby0/Q31ocVBFx07PPKZh4uCDv81auOPm6rbNFwxxkPxZ9bs)
206317 | באגר 16 טון | מקיף,63003406425,206317,באגר 16 טון,"""צמ""""ה""",מקיף,מגדל,31/5/2026,₪13072,,Infinity,העברה בנקאית,,15/6/2025,,,פעילה,,,,206317 צוות תשתיות.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/iLm2IeMafSEPbpbCwOTWqg/AV1Zq5U1tWnDlzhG08cCQo8HJm86NzpKBwZBYbi4mj76MaQWebJsGTMztRvHKkgkuNa5NCM2RZKbNHdPxv3qrCgSqt0F_wMa3cpqGUQb-8Kqgl-cPwpfKTAN8b-mHC_3q469zP7bugbp3GqTZUrPqM3GYTDFWvl6nmPWOXTYLhk/oiVBbu2EBNC5LWRv8HByEF2U_lq70mBJQrGaI61Pk7s)
206356 | שופל | חובה,825194724925,206356,שופל,"""צמ""""ה""",חובה,מגדל,30/6/2026,₪3328,1,3328,אשראי | 5237,15,15/7/2025,,,פעילה,,,,חובה 6.26-2.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/GHj6ZuZWR8NK_QzICOQXpw/xeweXn7jh7vFR15tRF4AFQMxHY5DTyWkD1r9TqY8IrFRAB5l4eMPyGjPsmUzqDLnIEfG-SHBB0n7dIWWpBpXFp-pkjDfUOO6C1U83cn_mmrYk8Prc7gzdvr8mATGa6fQYb5fk_vjE-gAIwep8wa1uK0G8mQaCtSU24hiY5Ey1f4/_hl7DQexb5GmARBLQ0sqnhSTJwu2OpPiE2YSa1L-9XE)
206602 | מיני באגר 9 טון | מקיף,63003515425,206602,מיני באגר 9 טון,"""צמ""""ה""",מקיף,מגדל,30/11/2026,₪10074,,Infinity,"""הו""""ק""",,10/12/2025,₪2136.60,,פעילה,,,,מקיף צוות תשתיות 206602.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/M2pfYil0Zvsjjdu5o_Dr4w/Dz5Z4_fXLFM1gzI1DES0UEirtxQSTBs1SPLXNQk3deSVGfqBaTAUYGIbN3FhkzZL4S7wLZYgS4zdM5rq0ZQA67Rr95xo3pE_c3VTJt2sNbAItMb0NiaDEoMysXCHLKpeTq0bbgiWp6d-M2fIe6RF02K1SVMP7xKpe054s_-mOsM/Fam-Dr97ZDsnHxa5zUZnGNcx3lIW9zX6xXQarwjKgOk)
