מזהה מיגון,רכב,חברת מיגון,סוג מיגון,תאריך התקנה,תוקף / חידוש,מסמכים,הערות,דמי מנוי,הוסף למנוי
MIG-162608,162608,פוינטר,איתור,,,,,,
MIG-206356,206356,פוינטר,איתור,,,,,,
MIG-220314,220314,פוינטר,איתור,,,,,,
MIG-25972904,25972904,פוינטר,איתור,,,,,,
MIG-70175402,70175402,פוינטר,איתור,,,,,,
MIG-39374804,39374804,פוינטר,איתור,,,,,,
MIG-19075504,19075504,איתוראן,איתור,,,,,,
MIG-206317,206317,איתוראן,איתור,,,,,,
MIG-206602,206602,איתוראן,איתור,,,,,,
MIG-21834403,21834403,איתוראן,איתור,,,,,,
MIG-220226,220226,איתוראן,איתור,,,,,,
MIG-220227,220227,איתוראן,איתור,,,,,,
MIG-220293,220293,איתוראן,איתור,,,,,,
MIG-37387204,37387204,איתוראן,איתור,,,,,,
MIG-5262239,5262239,איתוראן,איתור,,,,,,
MIG-2043484,244046,איתוראן,איתור,26/1/2026,,הצוות לתשתיות ש-422563.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/N1uVSYXd-8bbK0J7_i5rWA/e8rTTCzUeoPUte359OKja-xT4UAznKfPLc49L4rnRSqwngkCUpDdJ-P0daAte_7JSp1Am0AXxKKQYgIW84sM7hjZShD-6O4q3cgKbRNBZdbh7dZ3nHDFQJ3-6mXdehGe4yb7_1GytIoBtbTSvNRuSvU-CEpGoqq8yQaTvi3IfFQ/ZtSQdaVqZ2Z7mmfZ1T0ly9YlQKTWalIFog5Z_0XQD6A),,,
